baslik,konum,fiyat,ilan_tarihi,marka,seri,model,yil,kilometre,vites_tipi,yakit_tipi,kasa_tipi,renk,motor_hacmi,motor_gucu,cekis,arac_durumu,ortalama_yakit_tuketimi,yakit_deposu,boya_degisen,takasa_uygun,kimden,tramer
2022 MEGANE 1.3 TCE 140 HP JOY COMFORT EDC SERVİS BAKIMLI İLK EL,"Yeni Mh. Sarıçam, Adana",1.169.000 TL,21 Ağustos 2025,Renault,Megane,1.3 TCe Joy Comfort,2022,124.000 km,Otomatik,Benzin,Sedan,Beyaz,1201 - 1400 cm3,126 - 150 HP,Önden Çekiş,İkinci El,,,1 değişen,Takasa Uygun,Galeriden,71300.0
2004 Model Opel Corsa Enjoy 1.3 CDTİ -Km: 261.000,"Yeşiloba Mh. Seyhan, Adana",365.000 TL,20 Ağustos 2025,Opel,Corsa,1.3 CDTI Enjoy,2004,261.000 km,Düz,Dizel,Hatchback/5,Gri,1248 cc,70 hp,Önden Çekiş,İkinci El,"4,5 lt",44 lt,"1 değişen, 2 boyalı",Takasa Uygun Değil,Galeriden,
Sahibinden Renault Clio 1.5 dCi Authentique 2007 Model,"Ulus Mh. Ceyhan, Adana",300.000 TL,18 Ağustos 2025,Renault,Clio,1.5 dCi Authentique,2007,276.271 km,Düz,Dizel,Hatchback/5,Gri,1461 cc,65 hp,Önden Çekiş,İkinci El,"4,9 lt",55 lt,"2 değişen, 4 boyalı",Takasa Uygun,Sahibinden,
*2017*318i Sport Plus* 3-KOL*HARMAN KARDON * HATASIZ TEMİZLİKTE*,"Yeşiloba Mh. Seyhan, Adana",1.375.000 TL,16 Ağustos 2025,BMW,3 Serisi,318i Sport Plus,2017,259.000 km,Otomatik,Benzin,Sedan,Mavi,1401 - 1600 cm3,126 - 150 HP,Arkadan İtiş,İkinci El,,,Belirtilmemiş,Takasa Uygun,Galeriden,
Sahibinden Opel Astra 1.6 Essentia Konfor 2013 Model,"Musalla Mh. Merkez, Adıyaman",675.000 TL,21 Ağustos 2025,Opel,Astra,1.6 Essentia Konfor,2013,180.000 km,Düz,LPG & Benzin,Hatchback/5,Beyaz,1598 cc,115 hp,Önden Çekiş,İkinci El,"6,5 lt",52 lt,Tamamı orjinal,Takasa Uygun,Sahibinden,
SALİH AUTO DAN ÇOK TEMİZ DEĞİŞENSİZ SIFIR MOTOR,"Altınşehir Mh. Merkez, Adıyaman",285.000 TL,13 Ağustos 2025,Toyota,Corolla,1.3 XL,1995,265.000 km,Düz,Benzin,Sedan,Beyaz,1201 - 1400 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,5 boyalı,Takasa Uygun,Galeriden,
Sahibinden Skoda Fabia 1.2 Classic 2008 Model,"Cumhuriyet Mh. Merkez, Adıyaman",365.000 TL,27 Temmuz 2025,Skoda,Fabia,1.2 Classic,2008,255.000 km,Düz,LPG & Benzin,Hatchback/5,Beyaz,1198 cc,70 hp,Önden Çekiş,İkinci El,"5,9 lt",45 lt,"1 değişen, 5 boyalı",,Sahibinden,8000.0
Sahibinden Renault R 9 1.4 Broadway 1995 Model,"Doyran Köyü Merkez, Adıyaman",210.000 TL,24 Haziran 2025,Renault,R 9,1.4 Broadway,1995,324.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1390 cc,83 hp,Önden Çekiş,İkinci El,,47 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,
Sahibinden Ford Focus 1.6 Ti-VCT Titanium 2011 Model,"Gazi Mh. Merkez, Afyonkarahisar",600.000 TL,17 Ağustos 2025,Ford,Focus,1.6 Ti-VCT Titanium,2011,200.000 km,Düz,LPG & Benzin,Hatchback/5,Siyah,1596 cc,115 hp,Önden Çekiş,İkinci El,"6,6 lt",55 lt,1 boyalı,,Sahibinden,
Sahibinden Toyota Corolla 1.4 D-4D Advance 2016 Model,"Düzağaç Beldesi (Zafer Mh.) Sinanpaşa, Afyonkarahisar",1.125.000 TL,11 Ağustos 2025,Toyota,Corolla,1.4 D-4D Advance,2016,172.000 km,Düz,Dizel,Sedan,Gri (metalik),1364 cc,90 hp,Önden Çekiş,İkinci El,"4,1 lt",55 lt,Tamamı orjinal,,Sahibinden,
