konum,fiyat,ilan_tarihi,metrekare,bina_yasi,toplam_kat_sayisi,oda_sayisi,bulundugu_kat,kredi_uygunlugu
adalar,3100000,24 Şubat 2022,160.0,21,3,3+1,Çatı Katı,Krediye Uygun
arnavutkoy,650000,27 Şubat 2022,140.0,0,4,3+1,Düz Giriş,Krediye Uygun
arnavutkoy,805000,10 Şubat 2022,180.0,0,4,4+2,4. Kat,Krediye Uygun
atasehir,2450000,03 Mart 2022,127.0,21,7,3+1,2. Kat,Krediye Uygun
atasehir,1950000,24 Aralık 2021,190.0,2,4,4+1,4. Kat,Krediye Uygun
atasehir,3450000,03 Mart 2022,120.0,1,10,3+1,2. Kat,Krediye Uygun
avcilar,325000,23 Şubat 2022,100.0,5,6,2+1,3. Kat,Krediye Uygun
avcilar,1450000,01 Mart 2022,140.0,0,2,2+1,Yüksek Giriş,Krediye Uygun
avcilar,1380000,25 Şubat 2022,140.0,4,4,3+1,4. Kat,Krediye Uygun Değil
avcilar,700000,25 Ocak 2022,100.0,21,5,2+1,3. Kat,Krediye Uygun
avcilar,315000,27 Aralık 2021,90.0,0,5,1+1,2. Kat,Krediye Uygun
avcilar,2000000,05 Aralık 2021,159.0,3,24,3+1,20. Kat,Bilinmiyor
avcilar,1635000,06 Ekim 2021,200.0,5,12,4+1,2. Kat,Krediye Uygun
avcilar,380000,12 Ekim 2021,130.0,11,6,3+1,Kot 2 (-2). Kat,Krediye Uygun
bagcilar,1150000,14 Şubat 2022,55.0,2,19,Stüdyo,16. Kat,Krediye Uygun
bagcilar,650000,13 Ocak 2022,95.0,5,3,2+1,Yüksek Giriş,Krediye Uygun
bagcilar,495000,02 Ocak 2022,150.0,11,4,3+1,Bahçe Katı,Krediye Uygun
bagcilar,1200000,07 Aralık 2021,210.0,5,4,5+2,4. Kat,Krediye Uygun
bahcelievler,1500000,24 Şubat 2022,160.0,0,5,4+1,5. Kat,Krediye Uygun
bahcelievler,2050000,03 Mart 2022,300.0,4,4,6+1,Çatı Dubleks,Krediye Uygun
bahcelievler,1550000,23 Şubat 2022,165.0,0,4,3+2,4. Kat,Krediye Uygun
bahcelievler,1050000,01 Mart 2022,90.0,0,4,2+1,1. Kat,Krediye Uygun
bahcelievler,1450000,03 Mart 2022,175.0,0,5,5+1,5. Kat,Krediye Uygun
bahcelievler,1100000,25 Şubat 2022,120.0,21,4,3+1,Düz Giriş,Krediye Uygun
bahcelievler,615000,03 Mart 2022,90.0,21,5,2+1,5. Kat,Krediye Uygun
bahcelievler,1850000,21 Ocak 2022,225.0,0,4,5+2,4. Kat,Krediye Uygun
bahcelievler,1750000,01 Mart 2022,115.0,0,5,3+1,3. Kat,Krediye Uygun
bahcelievler,595000,03 Mart 2022,80.0,0,4,2+1,Düz Giriş,Krediye Uygun
bahcelievler,770000,19 Şubat 2022,90.0,5,4,2+1,1. Kat,Krediye Uygun
bahcelievler,1300000,02 Mart 2022,95.0,0,4,2+1,3. Kat,Krediye Uygun Değil
bakirkoy,8750000,03 Mart 2022,220.0,5,5,4+1,4. Kat,Krediye Uygun
bakirkoy,5900000,03 Mart 2022,170.0,0,4,3+1,Düz Giriş,Krediye Uygun
bakirkoy,6150000,03 Ocak 2022,135.0,0,3,3+1,Bahçe Katı,Krediye Uygun
bakirkoy,2150000,15 Aralık 2021,52.0,0,17,1+1,10. Kat,Krediye Uygun
bakirkoy,1550000,01 Aralık 2021,130.0,21,4,3+1,2. Kat,Krediye Uygun
bakirkoy,5000000,23 Şubat 2022,360.0,21,3,6+1,Düz Giriş,Krediye Uygun
basaksehir,390000,02 Mart 2022,110.0,0,6,2+1,2. Kat,Krediye Uygun
basaksehir,3540000,22 Şubat 2022,202.0,5,26,4+1,5. Kat,Krediye Uygun
basaksehir,900000,09 Şubat 2022,110.0,1,6,2+1,6. Kat,Krediye Uygun
basaksehir,1050000,01 Şubat 2022,210.0,21,1,3+1,Düz Giriş,Krediye Uygun Değil
basaksehir,825000,23 Şubat 2022,110.0,0,3,2+1,1. Kat,Krediye Uygun
bayrampasa,815000,25 Şubat 2022,120.0,21,4,2+1,3. Kat,Krediye Uygun
bayrampasa,1350000,01 Mart 2022,95.0,0,5,2+1,1. Kat,Krediye Uygun
besiktas,800000,10 Şubat 2022,78.0,21,5,1.5+1,Düz Giriş,Krediye Uygun
besiktas,30000000,18 Ocak 2022,340.0,21,4,6+1,4. Kat,Krediye Uygun
besiktas,22000000,23 Aralık 2021,270.0,4,7,3+1,4. Kat,Krediye Uygun
besiktas,32000000,02 Mart 2022,350.0,21,7,3+1,Yüksek Giriş,Krediye Uygun
besiktas,14000000,14 Ocak 2022,300.0,21,5,5+1,5. Kat,Krediye Uygun
beykoz,11000000,10 Ocak 2022,175.0,21,4,3+1,Bahçe Katı,Krediye Uygun
beylikduzu,475000,27 Şubat 2022,105.0,0,5,2+1,1. Kat,Krediye Uygun
beylikduzu,1225000,02 Mart 2022,95.0,0,5,2+1,2. Kat,Krediye Uygun
beylikduzu,710000,24 Şubat 2022,135.0,3,13,2+1,3. Kat,Krediye Uygun
beylikduzu,410000,04 Mart 2022,85.0,4,6,2+1,Bahçe Katı,Krediye Uygun
beylikduzu,390000,19 Şubat 2022,110.0,0,4,2+1,3. Kat,Krediye Uygun
beylikduzu,399999,08 Mart 2022,110.0,0,4,2+1,Yüksek Giriş,Krediye Uygun
beylikduzu,510000,12 Şubat 2022,130.0,0,5,3+1,4. Kat,Krediye Uygun
beylikduzu,875000,09 Mart 2022,100.0,0,4,2+1,1. Kat,Krediye Uygun
beyoglu,500000,19 Şubat 2022,100.0,21,5,2+1,Yüksek Giriş,Krediye Uygun
beyoglu,2250000,03 Mart 2022,110.0,21,5,2+1,2. Kat,Krediye Uygun
buyukcekmece,2100000,18 Şubat 2022,175.0,21,6,4+1,2. Kat,Krediye Uygun
buyukcekmece,11700000,27 Ocak 2022,2.0,11,3,8+ Oda,Düz Giriş,Krediye Uygun
buyukcekmece,1600000,26 Aralık 2021,162.0,0,4,2+1,Düz Giriş,Krediye Uygun
buyukcekmece,23000000,15 Şubat 2022,873.0,1,1,3+1,Bahçe Katı,Krediye Uygun
buyukcekmece,2000000,04 Mart 2022,265.0,5,4,5+2,4. Kat,Krediye Uygun
buyukcekmece,1500000,07 Ocak 2022,351.0,11,3,8+ Oda,Kot 3 (-3). Kat,Krediye Uygun
catalca,42000000,22 Şubat 2022,740.0,11,2,5+1,Villa Tipi,Bilinmiyor
cekmekoy,2500000,02 Mart 2022,137.0,11,7,3+1,2. Kat,Krediye Uygun
cekmekoy,690000,22 Şubat 2022,90.0,0,5,2+1,2. Kat,Krediye Uygun
cekmekoy,1350000,28 Şubat 2022,130.0,5,5,3+1,Çatı Katı,Krediye Uygun
cekmekoy,1299000,27 Ocak 2022,185.0,5,3,4+1,3. Kat,Krediye Uygun
cekmekoy,2350000,31 Aralık 2021,200.0,0,5,4+2,5. Kat,Krediye Uygun
cekmekoy,2000000,26 Şubat 2022,195.0,0,4,3+2,Çatı Katı,Krediye Uygun
cekmekoy,445000,22 Kasım 2021,100.0,0,5,2+1,2. Kat,Krediye Uygun
esenler,610000,27 Şubat 2022,98.0,0,4,3+1,Bahçe Katı,Krediye Uygun
esenler,850000,26 Şubat 2022,85.0,0,4,2+1,2. Kat,Krediye Uygun
esenler,475000,26 Şubat 2022,80.0,0,4,2+1,Bahçe Dublex,Krediye Uygun
esenyurt,355000,28 Şubat 2022,110.0,0,4,2+1,3. Kat,Krediye Uygun
